ID,Name,Sector,From Municipality,To Municipality,Location,Geometry,Cost,Stage,Schedule,Website,Related Links,Developer,Recently Added,Construction Contractor,Image Filename,Image Source,Details
2,Keyano Theatre Expansion,Institutional,Regional Municipality of Wood Buffalo,,"(56.7130012512207, -111.347999572754)",,$40000000.00,Announced,,http://woodbuffalo.siretechnologies.com/sirepub/cache/2/b1i0ps55ceidn555agfpgivv/474030225201510372411.PDF,"[{""url"":""http://www.fortmcmurraytoday.com/2014/10/23/keyano-college-seeking-funding-from-municipality-for-theatre-expansion"",""text"":""Oct 23, 2014 - Fort McMurray Today""}]",Keyano College,false,,,,Keyano is planning on building capacity for a 1200 seat theatre in their Arts Centre to help the Wood Buffalo region in attracting diverse productions.
3,Regional Water Project Phase 1,Infrastructure,Wheatland County,,"(56.712947845459, -111.350059509277)",,$10000000.00,Announced,,,"[{""url"":""http://www.drumhellermail.com/news/news-drumheller/14226-multi-million-dollar-regional-water-project-set-to-go"",""text"":""Jul 30, 2014 - Drumheller Mail""}, {""url"":""http://www.strathmorestandard.com/2014/10/29/county-council-to-go-ahead-with-rural-water-project"",""text"":""Oct 29, 2014 - Strathmore Standard""}]",Wheatland Regional Water Partnership,false,,,,"Regional water project for Standard, Rosebud, Rockyford, Gleichen and Hussar. Phase 1 is Standard to Rockyford."
4,Hangingstone SAGD Commercial Production Project,Oil Sands,Regional Municipality of Wood Buffalo,,"(56.496768951416, -111.595970153809)",,$774000000.00,Under Construction,2013 - 2016,http://www.jacos.com/Business/Pages/Current-Development.aspx,"[{""url"":""http://www.calgaryherald.com/business/Pipeline+deal+inked+Hangingstone+project/8964582/story.html"",""text"":""Sept 25, 2013 - Calgary Herald""}]",Japan Canada Oil Sands Limited (JACOS) / Nexen Inc.,false,,,,"The Hangingstone Steam Assisted Gravity Drainage Expansion Project will develop an area adjacent to the current Demonstation Project by JACOS and Nexen Energy ULC. The initial stage will result in bitumen production capacity of around 20,000 barrels per day, with room for an additional 10,000 bpd expansion after operations begin."
13,North West Bitumen Upgrader Phase 1,Oil Sands,Redwater,,"(53.9490013122559, -113.107002258301)",,$8500000000.00,Under Construction,2013 - 2017,www.northwestupgrading.com or www.nwrpartnership.com,"[{""url"":""http://www.dailyoilbulletin.com/article/2014/6/19/north-west-redwater-refinery-17-cent-completed/"",""text"":""Jun 19, 2014 - Daily Oil Bulletin""}]",North West Redwater Partnership (Canadian Natural Resources Ltd. (CNRL) / North West Upgrading Inc.),false,"EPC SNC-Lavalin, PCL Industrial Management.",https://farm8.staticflickr.com/7603/16904711796_8c0917f0fb_b.jpg,"North West Bitumen Upgrader Phase 1, courtesy of North West Redwater Partnership.","Commenced construction of Phase 1 of a three phase, 150,000 barrels per day bitumen blend refinery that will produce diesel, diluent and other products for the Alberta and world markets. Site modules and mechanical work 2014 - 2015."
14,Fort Hills Oil Sands Mine,Oil Sands,Regional Municipality of Wood Buffalo,,"(57.4408378601074, -111.570137023926)",,$13500000000.00,Under Construction,2013 - 2017,http://forthills.suncor.com/,"[{""url"":""http://business.financialpost.com/2013/10/31/suncor-energy-fort-hills/?__lsa=b0aa-348e"",""text"":""Oct 31, 2013 - Financial Post ""}]",Fort Hills Energy Corp. (Suncor Energy Inc. / Total SA / Teck Cominco),false,Aecon Group.,,,Corporate approval October 2013. Site development by Aecon Group. EPC utilities Fluor Canada.
17,Chinook Regional Hospital,Institutional,Lethbridge,,"(49.6860427856445, -112.81510925293)",,$127800000.00,Under Construction,2012 - 2015,http://www.infrastructure.alberta.ca/documents/0821__Lethbridge_RH_Fact_Sheet_%28Final%29.pdf,"[{""url"":""http://alberta.ca/release.cfm?xID=33126755B04D8-9FF2-1E50-F8A28225B7639F0F"",""text"":""Oct 18, 2012 - Alberta Government""}, {""url"":""http://www.albertahealthservices.ca/cp/ahs-cp-chinook-community-update-winter-2014.pdf"",""text"":""Winter 2014 - Alberta Health Services""}]",Alberta Infrastructure,false,Stuart Olson Dominion Construction,,,"This redevelopment includes a 5-storey addition of approximately 19,000 square metres to provide improved access to outpatient services, specialized care, and emergency services."
20,Canadian Diluent Hub Phase 1,Oil Sands,Strathcona County,,"(53.8215217590332, -113.130630493164)",,$350000000.00,Announced,2016 - 2017,http://www.pembina.com/about-us/projects/,"[{""url"":""http://www.theglobeandmail.com/globe-investor/news-sources/?mid=cnw.20141009.C7404"",""text"":""Oct 9, 2014 - The Globe and Mail""}]",Pembina Pipeline Corp.,false,,,,"The Canadian Diluent Hub will be a large-scale condensate and diluent terminal at the Heartland Terminal site near Fort Saskatchewan. The first phase will include 600,000 barrels of above ground storage with multiple pipeline connections and pumping and metering facilities."
21,Sage Place Building 2,Residential,Calgary,,"(51.1620407104492, -114.160911560059)",,$21000000.00,Under Construction,2014 - 2015,http://www.buzzbuzzhome.com/sage-place-building-22,"[{""url"":""http://www.condolivingonline.com/calgary/articles/5233/a-place-in-the-sun"",""text"":""Jan 1, 2014 - condoliving""}]",Cardel Lifestyles,false,,,,Sage Place 2 is a 48 unit low-rise condominium under construction in Calgary with expected completion in August 2015.
22,Medicine Hat Regional Hospital Redevelopment,Institutional,Medicine Hat,,"(50.0354156494141, -110.702163696289)",,$220000000.00,Under Construction,2012 - 2016,http://www.albertahealthservices.ca/5805.asp,"[{""url"":""http://www.prairiepost.com/news/alberta/item/1134-construction-firm-selected-for-medicine-hat-hospital-redevelopment.html"",""text"":""Jul 5, 2011 - Prairie Post""}, {""url"":""http://www.albertahealthservices.ca/assets/about/capitalprojects/ahs-cp-winter-update-2015-mhrh.pdf"",""text"":""Winter 2014/15 - Alberta Health Services""}]",Alberta Infrastructure,false,Stuart Olson Dominion Construction,,,"This 30,800 square metre redevelopment work will focus on a new building to replace the Dr Dan MacCharles Auxiliary wing, which was built in 1962."
23,Gilead Research and Development Lab,Other Sectors,Edmonton,,"(53.5709991455078, -113.356002807617)",,$50000000.00,Announced,2014 - 2016,http://manascisaac.com/work/gilead-sciences-new-laboratory/,"[{""url"":""http://blogs.edmontonjournal.com/2014/10/20/biotech-giant-gilead-sciences-expanding-in-edmonton-with-2nd-city-lab/"",""text"":""Oct 20, 2014 - Edmonton Journal""}]",Gilead Alberta,false,Graham Construction,,,"Located on a 10-acre site in northeast Edmonton, this 6500 square metre cutting edge laboratory will contain labs and lab support spaces, offices and meeting spaces."
24,Northern Gateway Pipeline,Pipelines,Bruderheim,County of Grande Prairie No. 1,,"{ ""type"": ""LineString"", ""coordinates"": [ [ -112.926635, 53.804270 ], [ -115.139963, 53.953778 ], [ -116.808904, 54.405156 ], [ -119.999928, 54.799187 ] ] }",$1579000000.00,Announced,2014 - 2015,www.northerngateway.ca or www.enbridge.com or www.ceaa-acee.gc.ca,"[{""url"":""http://business.financialpost.com/2013/12/19/northern-gateway-pipeline-approved-by-panel-with-209-conditions/?__lsa=adae-16aa"",""text"":""Dec 19, 2013 - Financial Post""}]",Enbridge Pipelines Inc.,false,Enbridge Pipelines Inc.,,,"The Enbridge Northern Gateway Pipeline will be a twin system running from near Edmonton to a new marine terminal in Kitimat, British Columbia, which will be used to export petroleum and import condensate. Federal approval has been obtained. Cost is for Alberta portion only."
25,High Prairie Health Complex,Institutional,High Prairie,,"(55.4339561462402, -116.483406066895)",,$160000000.00,Under Construction,2012 - 2016,http://www.albertahealthservices.ca/2343.asp,"[{""url"":""http://www.dailyheraldtribune.com/2012/10/28/provincial-government-announces-plans-for-new-high-prairie-hospital"",""text"":""Oct 28, 2012 - Grande Prairie Daily Herald Tribune""}, {""url"":""http://www.infrastructure.alberta.ca/documents/June_2014_HPHC_Fact_Sheet.pdf"",""text"":""Jun 2014 - Alberta Infrastructure""}]",Alberta Infrastructure,false,,,,"The new High Prairie Health Complex will include a wide-range of health services including 30 acute care beds, 67 continuing care beds, primary health care and community health programs."
32,International Transborder Concourse,Infrastructure,Calgary,,"(51.1338996887207, -114.011032104492)",,$1427000000.00,Under Construction,2011 - 2015,http://ascribehq.com/ellisdon/portfolio/bim/5976,"[{""url"":""http://www.cbc.ca/news/canada/calgary/calgary-airport-terminal-runway-construction-underway-1.1117045"",""text"":""Dec 9, 2011 - CBC News""}]",Calgary Airport Authority,false,EllisDon Corporation,,,"This project will involve the construction of an East Concourse at the Calgary International Airport, providing the increased capacity to meet projected international and transborder demand through to 2025. The expansion will double the size of the existing terminal building and add 22 bridge positions."
37,CFB Cold Lake Infrastructure Upgrades,Infrastructure,Cold Lake,,"(54.4096183776855, -110.275764465332)",,$120000000.00,Under Construction,2006 - 2015,,"[{""url"":""http://www.reuters.com/article/2013/07/02/idUSnCCN2Z4Cb6+1d4+MKW20130702"",""text"":""Jul 2, 2013 - Reuters""}]",Defence Construction Canada,false,Clearway Construction Inc.,,,"A multi-phase project, current upgrades include new housing, daycare, road systems, plumbing, and communications around the wing."
39,May River Bitumen Project Phase 1,Oil Sands,Regional Municipality of Wood Buffalo,,"(55.665943145752, -111.233039855957)",,$250000000.00,Announced,,http://www.grizzlyoilsands.com/operations/may-river,,Grizzly Oil Sands ULC,false,,,,
52,Freeport Holiday Inn,Tourism / Recreation,Calgary,,"(51.1520004272461, -114.003997802734)",,$25200000.00,Under Construction,2014 - 2015,,,Aspen Developments Corp.,false,,,,
56,Shepard Energy Centre Power Plant,Power,Calgary,,"(50.9524993896484, -113.923599243164)",,$1400000000.00,Under Construction,2011 - 2015,https://www.enmax.com/generation-wires/generation/natural-gas-powered/shepard-energy-centre,"[{""url"":""http://calgaryherald.com/business/enmax-seeks-extension-on-shepard-energy-centre-deadline"",""text"":""Jul 4, 2014 - Calgary Herald""}]",ENMAX Energy Corp. / Capital Power Corp.,false,Kiewit Energy Canada Corp. / Black,,,"Shepard Energy Centre will be the largest natural gas-fired power facility in Alberta upon its completion. Using combined-cycle technology, two natural gas-fired turbines and one steam turbine will add more than 800 megawatts of electricity to the provincial grid, while emitting half the CO2 per MW than conventional coal plants."
58,Raw Water Pump Station,Infrastructure,Camrose,,"(52.8658828735352, -112.743392944336)",,$5900000.00,Announced,2014 - 2015,,,City of Camrose,false,Alpha Construction,,,
61,Deerland Peaking Station,Power,Bruderheim,,"(53.8572807312012, -112.879989624023)",,$140000000.00,Announced,Commencing 2015,http://www.maximpowercorp.com/_html/operations/deerland.html,"[{""url"":""https://ca.finance.yahoo.com/news/maxim-power-corp-announces-firm-001537524.html"",""text"":""May 15, 2012 - Yahoo Finance""}]",MAXIM Power Corp.,false,,,,"MAXIM has received regulatory approval to construct and operate a four-unit configuration to produce 190 MW of incremental generation. The planned facility, located beside existing electrical infrastructure, will help address Alberta""s growing power needs, particularly in times of peak electricity demand."
62,Diamond Willow Terrace Lodge Renovations,Institutional,Magrath,,"(49.4127006530762, -112.870002746582)",,$7500000.00,Announced,,http://www.magrath.ca/component/content/article/644-diamond-willow-terrace-lodge-expansion.html,"[{""url"":""http://www.prairiepost.com/news/alberta/item/6515-magrath-blairmore-receive-funds-for-seniors-lodges.html"",""text"":""Aug 8, 2014 - Prairie Post""}]",Chinook Foundation/ Alberta Social Housing Corp.,false,,,,The Diamond Willow Terrace Lodge in Magrath currently has 39 units that will be renovated into 20 larger and more spacious suits with an additional 28 new units to be added to the facility. Funding will also help enlarge bathroom facilities and widen doorways and hallways to make them more easily accessible for patrons requiring wheelchairs and walkers.
63,"Distribution Centre, Balzac",Commercial / Retail,Rocky View County,,"(51.2000007629395, -113.980003356934)",,$50000000.00,Announced,,,"[{""url"":""http://www.calgaryherald.com/business/American+developer+building+square+foot+distribution+centre+Balzac+area/10273035/story.html"",""text"":""Oct 7, 2014 - Calgary Herald""}]",Hillwood Investment Properties / Highfield Investment Group,false,Clark Builders,,,"Hillwood Investment Properties is partnering with Highfield Investment Group to build a new 500,000 sq ft state-of-the-art distribution facility in the High Plains Industrial Park in Balzac."
67,"ALT Hotel, East Village",Tourism / Recreation,Calgary,,"(51.0470008850098, -114.047996520996)",,$34000000.00,Announced,2015 - 2017,www.groupegermain.com,"[{""url"":""http://www.calgaryherald.com/business/Hotel+planned+Calgary+East+Village/10270705/story.html"",""text"":""Oct 6, 2014 - Calgary Herald""}]",Groupe Germain Hospitalite / Homes by Avi,false,,,,"Groupe Germain Hospitalite is building a second Calgary-area hotel in the East Village with 155 rooms and 5000 sq ft of meeting space, which will offer modern design and features. Two retail areas will be on the first floor along with 3 floors of underground parking."
68,Cranston Ridge Condo,Residential,Calgary,,"(50.8792991638184, -113.982803344727)",,$12200000.00,Announced,,http://www.cardellifestyles.com/cranston-ridge/,"[{""url"":""http://www.calgarysun.com/2013/12/13/lifestyle-and-location-at-cranston-ridge"",""text"":""Dec 14, 2013 - Calgary Sun""}]",Cardel Lifestyles,false,,https://farm9.staticflickr.com/8633/16546531158_89c552960c_b.jpg,"Cranston Ridge Condo, courtesy of Cardel Lifestyles.",This building features 15 townhomes and 256 condo apartments in the Calgary neighbourhood of Cranston.
81,Highway 56 Upgrades,Infrastructure,Stettler,County of Stettler No. 6,,"{ ""type"": ""LineString"", ""coordinates"": [ [ -112.691757, 52.330101 ], [ -112.69175, 52.330116 ], [ -112.691731, 52.330228 ], [ -112.691787, 52.332219 ], [ -112.691776, 52.346759 ], [ -112.691778, 52.36136 ], [ -112.691775, 52.375854 ], [ -112.691766, 52.404908 ], [ -112.691759, 52.434002 ], [ -112.691797, 52.450646 ], [ -112.691816, 52.46308 ], [ -112.691806, 52.492233 ], [ -112.691888, 52.52135 ], [ -112.692024, 52.579502 ] ] }",$6000000.00,Announced,2014 - 2015,http://www.transportation.alberta.ca/projects/east.aspx,,Alberta Transportation,false,Lahrmann Construction,,,"Highway 56 selective grade, base and pave from 52 Ave in Stettler to Highway 53, plus intersection improvement at Highway 56 / Township 410 north of Stettler."
82,Parsons Creek Continuing Care Centre,Institutional,Regional Municipality of Wood Buffalo,,"(56.7580146789551, -111.455619812012)",,$41700000.00,Announced,2014 - 2017,,,Alberta Infrastructure,false,Ledcor Construction,,,Tender closes April 14.
84,Equinox Oil Sands Mine,Oil Sands,Regional Municipality of Wood Buffalo,,"(57.4408378601074, -111.570137023926)",,$5750000000.00,Announced,,,,Teck Coal Ltd.,false,,,,Application filed with Frontier application in November 2011.
85,"Frontier Oil Sands Mine Phases 1, 2 and 3",Oil Sands,Regional Municipality of Wood Buffalo,,"(57.7190818786621, -112.081283569336)",,$20000000000.00,Announced,,http://www.teck.com/frontier,"[{""url"":""http://www.dailycommercialnews.com/Resource/News/2014/4/Frontier-Oilsands-Mine-joint-review-panel-raises-concerns-among-some-First-Nations-DCN059910W/"",""text"":""Apr 17, 2014 - Daily Commercial News""}]",Teck Coal Ltd.,false,,,,Proposed construction start phase 1 in 2016. Application filed November 2011. Regulatory approval expected in late 2015 / early 2016. Four phases in total.
86,Banff Ave Apartment Building,Residential,Banff,,"(51.1800003051758, -115.569999694824)",,$9200000.00,Announced,,,"[{""url"":""http://www.rmoutlook.com/article/20141120/RMO0801/311209996/banff-ponders-building-own-rental-unitsandtemplate=JQMArticle"",""text"":""Nov 20, 2014 - Rocky Mountain Outlook""}]",Town of Banff,false,,,,The Town of Banff is proposing to build 36 rental units on Banff Ave at potentially lower than market rents to help alleviate a low-cost housing shortage.
87,StoneGate Landing,Commercial / Retail,Calgary,,"(51.1725006103516, -113.975799560547)",,$3000000000.00,Under Construction,2010 - 2021,www.stonegatelanding.ca/ or http://www.wamdevelopment.com/projects/stonegate-landing/,"[{""url"":""http://www.calgaryherald.com/entertainment/Stoney+Industrial+Centre+Calgary+four+completed+buildings/8256462/story.html"",""text"":""Apr 16, 2013 - Calgary Herald""}]",WAM Development Group / AIMCo,false,,https://farm9.staticflickr.com/8733/16159089033_f85d186442_o.png,StoneGate Landing. March 2015 © WAM (RE) DEVELOPMENT MANAGEMENT LP used under license by the Ministry of Innovation and Advanced Education.,"StoneGate Landing is slated to be the largest AAA business park of its kind in Western Canada. The project consists of 1,000 acres - up to 11 million sq ft of industrial and retail space - that will accommodate industrial, retail, hotel and office developments. Stoney Industrial Centre warehouse 4, 5 and 6 completed. StoneGate Landing in pre-leasing stage. StoneGate Corporate Centre (office campus) in preliminary planning."
92,Centre Communautaire Beaumont Community Centre,Tourism / Recreation,Beaumont,,"(53.3544006347656, -113.41300201416)",,$10000000.00,Under Construction,2014 - 2015,https://www.facebook.com/ccbcc.beaumont,"[{""url"":""http://www.thebeaumontnews.ca/2013/07/19/completion-of-new-community-centre-slated-for-2014"",""text"":""Jul 19, 2013 - Beaumont News""}, {""url"":""http://www.edmontonsun.com/2014/10/20/beaumont-remains-rooted"",""text"":""Oct 20, 2014 - Edmonton Sun""}]",Town of Beaumont,false,Omicron Construction,https://farm9.staticflickr.com/8596/16680025050_3efd2cb822_b.jpg,"Centre Communautaire Beaumont Community Centre, courtesy of the Town of Beaumont.","The new community centre will replace the 50-year-old Club Beaumont with a new banquet hall with capacity of 500, a commercial kitchen, multi-purpose studio space, and a proposed childcare facility."
94,Tamarack Bitumen Project Phase 1,Oil Sands,Regional Municipality of Wood Buffalo,,"(56.8350944519043, -111.234771728516)",,$1370000000.00,Announced,,,,Ivanhoe Energy,false,,,,On hold.  Application under review.
97,Leduc Sanitary Sewer Development,Infrastructure,Leduc,,"(53.257999420166, -113.550003051758)",,$9000000.00,Announced,Commencing 2015,www.leduc.ca,"[{""url"":""http://www.leducrep.com/2014/10/24/sanitary-sewer-master-plan-approved"",""text"":""Oct 24, 2014 - Leduc Rep""}]",City of Leduc,false,,,,"This long-term plan calls for repairs and replacements at 12 locations around Leduc over a 10 year budgeting cycle, with most of the funding already allocated."
99,Alberta Carbon Trunk Line,Pipelines,Fort Saskatchewan,Lacombe,,"{ ""type"": ""LineString"", ""coordinates"": [ [ -113.210057, 53.702873 ], [  -112.634963, 53.693104 ], [ -112.666364, 53.370144 ], [ -113.054945, 53.196762 ], [ -113.380080, 52.420166 ] ] }",$600000000.00,Announced,2014 - 2015,http://www.enhanceenergy.com/actl,"[{""url"":""http://www.calgaryherald.com/technology/Projects+Enhance+Energy+Alberta+Carbon+Trunk+Line/5533578/story.html"",""text"":""Oct 10, 2011 - Calgary Herald""}]",Enhance Energy Inc.,false,,,,"The Alberta Carbon Trunk Line is the world""s largest carbon capture and storage project. It consists of a 240 km pipeline which will gather, compress and store up to 14.6 million tonnes of CO2 per year, and inject this CO2 into depleted oil reservoirs. The pipeline will run from the Alberta Industrial Heartland to a site near Clive."
101,Comfort Inn and Suites,Tourism / Recreation,Bonnyville,,"(54.2680702209473, -110.715919494629)",,$6000000.00,Under Construction,2014 - 2015,http://www.bcpconstruction.ca/projects.html,,Bonnyville Eastgate Hospitality Ltd.,false,BCP Construction,,,An 85-room hotel with spa facilities. This project is anticipated to be finished by Summer 2015.
106,Studio Bell (previously National Music Centre),Tourism / Recreation,Calgary,,"(51.0445213317871, -114.05591583252)",,$168000000.00,Under Construction,2013 - 2016,http://www.nmc.ca/,"[{""url"":""http://www.cbc.ca/news/canada/calgary/king-eddy-hotel-dismantled-pieces-stored-meticulously-1.2462957"",""text"":""Dec 13, 2013 - CBC""}, {""url"":""http://www.calgarysun.com/2014/07/19/calgarys-national-music-centre-begins-to-take-shape-in-revitalized-east-village"",""text"":""Jul 19, 2014 - Calgary Sun""}]",Cantos Music Foundation,false,CANA Construction,,,"A new $168 million facility being developed in the former King Edward Hotel that will also include performance spaces, recording studios, broadcasting facilities and an extensive collection of artifacts including the Canada Music Hall of Fame and the Canadian Country Music Hall of Fame."
113,"Corridor Improvement 28 St N, 26 Ave N and 5 Ave N",Infrastructure,Lethbridge,,"(49.7312355041504, -112.803688049316)",,$13700000.00,Under Construction,2013 - 2015,http://www.lethbridge.ca/living-here/Projects-Initiatives/Pages/5-Ave-26-Ave-28-St-North-Arterial-Corridor-Improvements.aspx,,City of Lethbridge,false,Tollestrup Construction,https://farm9.staticflickr.com/8697/16610012660_6b39fd3979_b.jpg,"Corridor Improvement 28 St N, 26 Ave N and 5 Ave N, courtesy of the City of Lethbridge.",
114,Jubilee Park Phases 4 and 5,Tourism / Recreation,Spruce Grove,,"(53.5589981079102, -113.870002746582)",,$9300000.00,Announced,,http://www.sprucegrove.org/community/news/jubilee_plan_news_jun2014.htm,"[{""url"":""http://www.sprucegroveexaminer.com/2014/06/20/spruce-grove-jubilee-parks-future-is-revisited"",""text"":""Jun 20, 2014 - Spruce Grove Examiner""}]",City of Spruce Grove,false,,,,"A multi-faceted improvement of Jubilee Park, including amenities such as picnic shelters, park bathrooms, open spaces for programming, water play area, and entry gate."
118,'West Ells' Oil Sands Project Phases 1 and 2,Oil Sands,Regional Municipality of Wood Buffalo,,"(57.2818908691406, -112.82218170166)",,$525000000.00,Announced,2012 - 2015,,,Sunshine Oilsands,false,,,,
121,Chamber of Commerce Office Building,Infrastructure,St. Albert,,"(53.6333694458008, -113.62727355957)",,$40000000.00,Announced,Commencing 2016,,,City of St. Albert,false,,,,
122,Viridian Condo Building 4,Residential,Calgary,,"(51.1772727966309, -114.14315032959)",,$12700000.00,Announced,,,,Trico Homes,false,,,,Not anticipated to start construction until Building 3 is completed.
124,Calgary Airport Village by Hilton,Tourism / Recreation,Calgary,,"(51.1451988220215, -114.010398864746)",,$117000000.00,Under Construction,2012 - 2017,,"[{""url"":""http://www.meetingscanada.com/news-articles/hilton-worldwide-to-develop-first-three-flag-hotel-village-in-calgary/"",""text"":""Aug 10, 2012 - MeetingsCanada.com""}]",Prestige Hospitality Group,false,Aman Construction,,,"Three Hilton Hotels (Hampton Inn, Homewood Suites and Hilton Hotel) and a Conference Centre. Hampton Inn and Homewood Suites completed. Hilton Hotel and Conference Centre planned for 2015 - 2017."
125,Standard Life Building Upgrades,Commercial / Retail,Calgary,,"(51.048999786377, -114.071998596191)",,$10000000.00,Announced,2014 - 2016,,"[{""url"":""http://www.calgaryherald.com/business/Older+downtown+office+towers+being+updated+take+advantage+tight+market/9950638/story.html"",""text"":""Jun 17, 2014 - Calgary Herald""}]",Standard Life Assurance Company,false,Clark Builders,,,"This 1982 building with 220,000 sq ft will receive $10 million in upgrades to compete with newer office towers."
132,Prince Rupert Stormwater Management Facility,Infrastructure,Edmonton,,"(53.5620002746582, -113.519996643066)",,$8700000.00,Announced,2014 - 2015,http://www.edmonton.ca/programs_services/documents/20140108_Prince_Rupert_Presentation.pdf,,City of Edmonton,false,CKB Construction (2004) Ltd,,,"A new stormwater facility in the Prince Rupert neighbourhood that will reduce the risk of flooding, reduce sewer overflows, and improve runoff water quality."
137,Diseno in Sherwood,Residential,Calgary,,"(51.1585350036621, -114.149505615234)",,$26000000.00,Announced,,http://www.liveinsherwood.com/builders/landmark-diseno.html,,Melcor Development,false,Landmark Group,,,
138,GentleCare Centre of Excellence,Institutional,Edmonton,,"(53.5180816650391, -113.61336517334)",,$14000000.00,Announced,,http://www.winnifredstewart.com/winnifred-stewart/gentle-care,"[{""url"":""http://www.edmontonsun.com/2014/10/18/cam-tait-winnifred-stewart-association-raising-funds-for-a-home-for-new-care-facility"",""text"":""Oct 18, 2014 - Edmonton Sun""}]",Winnifred Stewart Association,false,,,,"The GentleCare Center of Excellence will provide service to persons with developmental disabilities who have complex medical needs, Alzheimer?s/chronic dementia, and require palliative care."
139,The Bella Concert Hall,Institutional,Calgary,,"(51.012508392334, -114.139747619629)",,$90000000.00,Under Construction,2014 - 2015,http://www.mtroyal.ca/ProgramsCourses/FacultiesSchoolsCentres/TheConservatory/AbouttheConservatory/TheNewConservatory/TheBellaConcertHall/index.htm,"[{""url"":""http://metronews.ca/news/calgary/1090443/a-year-before-opening-mount-royal-universitys-new-conservatory-already-seeing-rush-of-bookings/"",""text"":""Jul 9, 2014 - Metro News""}, {""url"":""http://calgaryherald.com/entertainment/local-arts/mount-royal-conservatory-offers-early-look-at-the-bella-concert-hall"",""text"":""Jan 22, 2015 - Calgary Herald""}]",Mount Royal University,false,CANA Management,https://farm6.staticflickr.com/5443/17235483025_bed58bc6b7_b.jpg,"The Bella Concert Hall, courtesy of Mount Royal University.","Being developed in Mount Royal""s new Conservatory of Music, The Bella Concert Hall will seat 773 people for performances requiring an intimate setting and superb acoustics."
143,Crossings Leisure Complex - Phase 1,Tourism / Recreation,Lethbridge,,"(49.6783142089844, -112.899940490723)",,$41300000.00,Under Construction,2013 - 2015,http://www.lethbridge.ca/living-here/Projects-Initiatives/Current-Projects/Pages/The-Crossings-Leisure-Complex-Phase-1.aspx,,City of Lethbridge,false,Ward Bros. Construction Ltd,https://farm9.staticflickr.com/8561/16797363345_5b34194a5d_b.jpg,"The Crossings Leisure Complex Phase 1, courtesy of the City of Lethbridge.","Phase 1 of the Crossings Leisure Complex consists of two NHL-sized ice surfaces, a 10-sheet curling facility and food/beverage services. The curling facility will replace the existing curling facility located at the Civic Ice Centre."
153,Taiga Oil Sands Project,Oil Sands,Bonnyville M.D. No. 87,,"(54.672004699707, -110.123985290527)",,$1570000000.00,Announced,2015 - 2018,http://www.osumcorp.com/about-osum/core-areas/cold-lake/,"[{""url"":""http://www.albertaoilmagazine.com/2012/09/osum-oil-sands-gets-regulatory-nod-for-taiga/"",""text"":""Sept 12, 2012 - Alberta Oil ""}]",Osum Oil Sands Corp.,false,,,,"The Taiga Oil Sands Project is expected to support volumes of at least 45,000 barrels per day at peak capacity."
154,Microtel Inn and Suites,Tourism / Recreation,Bonnyville,,"(54.2680702209473, -110.715919494629)",,$8000000.00,Under Construction,2014 - 2015,http://www.masterbuilthotels.com/portfolio/details/microtel-inn-suite-bonnyville?PHPSESSID=7jir9b1m25ms95g83bf256ja50,"[{""url"":""http://www.canadianlodgingnews.com/lodging/openingsrenos/microtel-breaks-ground-in-bonnyville-ab"",""text"":""Dec 23, 2014 - Canadian Lodging News""}]",MasterBuilt Hotels Ltd.,false,Masterbuilt Construction,,,"An 87-room hotel in Bonnyville located in the new East Gate Development, it will also feature meeting space, a fitness centre, and a business centre."
160,Spray lakes Sawmills family Sports centre,Tourism / Recreation,Cochrane,,"(51.1832809448242, -114.458831787109)",,$45000000.00,Under Construction,2015 - 2017,http://www.rockthewaves.ca/cause/slsfamilysportscentre/,"[{""url"":""http://www.cochranetimes.com/2013/06/12/first-costing-puts-rec-centre-expansion-at-543"",""text"":""Jun 12, 2013 - Cochrane Herald""}, {""url"":""http://www.cochraneeagle.com/article/20140213/COE0801/302139998/-1/coe/cochrane-discusses-45m-aquatic-curling-project"",""text"":""Feb 13, 2014 - Cochrane Eagle""}]",Town of Cochrane,false,Tango Management,https://farm9.staticflickr.com/8737/16670003718_8b78a95ea2_b.jpg,"Aquatic Facility / Curling Rink, courtesy of TDA architects.","To be built as an expansion to the Spray Lake Sawmills Family Sports Centre, this project includes a six sheet curling rink, restaurant/lounge overlooking the curling rink and Totem 1 arena, an 8 lane 25m lap pool, a leisure pool, hot water therapy pool, hot tub, water slides and an outdoor spray park."
162,Narrows Lake In Situ Oil Sands Project,Oil Sands,Regional Municipality of Wood Buffalo,,"(55.5551719665527, -110.910499572754)",,$1600000000.00,Under Construction,2013 - 2017,http://www.cenovus.com/operations/oil/narrows-lake.html,"[{""url"":""http://beaconnews.ca/blog/2012/05/cenovus-narrows-lake-oil-sands-project-gets-green-light/"",""text"":""May 30, 2012 - Beacon News""}]",Cenovus Energy Inc. / ConocoPhillips,false,,,,"Expected to have a total gross capacity of 130,000 barrels of oil per day. It""s planned to have three phases and a project life of up to 40 years."
